19: i
13: black
11: see
10: painted
9: my
8: and
7: the
7: to
6: hmm
6: it
6: turn
5: a
4: want
3: wanna
3: have
3: door
3: red
3: look
3: no
3: their
3: not
2: darkness
2: in
2: them
2: dressed
2: is
2: as
2: love
2: sun
2: colors
2: summer
2: by
2: girls
2: anymore
2: goes
2: away
2: head
2: will
2: clothes
2: with
2: until
2: walk
1: been
1: quickly
1: whole
1: your
1: yeah
1: when
1: setting
1: ev'ryday
1: if
1: you
1: sky
1: flowers
1: myself
1: night
1: come
1: then
1: easy
1: morning
1: cars
1: happening
1: maybe
1: comes
1: facing
1: facts
1: sea
1: out
1: into
1: fade
1: world
1: more
1: could
1: people
1: face
1: blue
1: heads
1: thing
1: before
1: forsee
1: inside
1: me
1: from
1: has
1: up
1: laugh
1: all
1: like
1: it's
1: this
1: heart
1: both
1: never
1: coal
1: blotted
1: line
1: back
1: of
1: hard
1: just
1: they're
1: green
1: go
1: newborn
1: enough
1: i'll
1: baby
1: deeper
1: happens
